x,z
25.4,0
25.30983,0.016764
25.05075,0.071628
24.64562,0.16764
24.112728,0.294132
23.459694,0.437642
22.68855,0.592582
21.806916,0.76073
20.828,0.94107
19.766026,1.1303
18.635726,1.325118
17.452848,1.520952
16.23314,1.712214
14.993112,1.892808
13.74902,2.054098
12.513056,2.185416
11.29284,2.279142
10.095992,2.33045
8.929116,2.337562
7.798816,2.29997
6.710426,2.220468
5.672328,2.105406
4.695444,1.960118
3.78968,1.787906
2.964434,1.592834
2.228088,1.37922
1.5875,1.151128
1.048512,0.913638
0.616458,0.672592
0.294894,0.43434
0.087376,0.209042
0.000508,0.012954
0.065532,-0.15875
0.28321,-0.329184
0.627634,-0.496062
1.094994,-0.651256
1.680464,-0.790702
2.378964,-0.911352
3.183636,-1.010666
4.087114,-1.087374
5.079746,-1.140206
6.151626,-1.167638
7.290308,-1.168908
8.483092,-1.138682
9.724644,-1.06934
11.018266,-0.964946
12.355322,-0.841756
13.717778,-0.711454
15.08633,-0.581406
16.44142,-0.456946
17.763998,-0.3429
19.03476,-0.242316
20.23491,-0.15748
21.346922,-0.089662
22.35327,-0.039624
23.238206,-0.006096
23.988014,0.012954
24.590502,0.019304
25.034494,0.01524
25.307544,0.005334
25.4,0